"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
1971,94,"PStewart",0.106,0.15,0.105,-0.185,0.402
1972,94,"PStewart",0.139,0.145,0.137,-0.142,0.424
1973,94,"PStewart",0.489,0.153,0.487,0.192,0.794
1974,94,"PStewart",0.36,0.173,0.359,0.023,0.704
1975,94,"PStewart",0.504,0.156,0.502,0.2,0.817
1976,94,"PStewart",0.501,0.16,0.498,0.195,0.821
1977,94,"PStewart",0.315,0.167,0.31,-0.011,0.651
1978,94,"PStewart",0.499,0.162,0.498,0.189,0.821
1979,94,"PStewart",0.458,0.162,0.455,0.152,0.784
1980,94,"PStewart",0.704,0.205,0.698,0.322,1.125
1993,109,"RBGinsburg",-0.202,0.221,-0.199,-0.64,0.219
1994,109,"RBGinsburg",-0.431,0.202,-0.427,-0.839,-0.044
1995,109,"RBGinsburg",-0.485,0.207,-0.483,-0.898,-0.086
1996,109,"RBGinsburg",-0.573,0.209,-0.57,-0.981,-0.171
1997,109,"RBGinsburg",-0.77,0.227,-0.765,-1.222,-0.334
1998,109,"RBGinsburg",-0.927,0.232,-0.924,-1.393,-0.495
1999,109,"RBGinsburg",-1.324,0.246,-1.316,-1.827,-0.864
2000,109,"RBGinsburg",-1.537,0.268,-1.53,-2.081,-1.026
2001,109,"RBGinsburg",-1.65,0.284,-1.645,-2.217,-1.112
2002,109,"RBGinsburg",-1.704,0.299,-1.699,-2.31,-1.129
2003,109,"RBGinsburg",-1.775,0.298,-1.769,-2.387,-1.215
2004,109,"RBGinsburg",-1.722,0.297,-1.714,-2.321,-1.16
2005,109,"RBGinsburg",-1.614,0.306,-1.606,-2.233,-1.038
2006,109,"RBGinsburg",-1.709,0.293,-1.702,-2.293,-1.153
2007,109,"RBGinsburg",-1.686,0.301,-1.676,-2.293,-1.121
2008,109,"RBGinsburg",-1.726,0.295,-1.713,-2.331,-1.175
2009,109,"RBGinsburg",-1.668,0.316,-1.655,-2.314,-1.077
2010,109,"RBGinsburg",-2.057,0.335,-2.045,-2.742,-1.427
2011,109,"RBGinsburg",-2.327,0.351,-2.318,-3.059,-1.678
2012,109,"RBGinsburg",-2.411,0.379,-2.395,-3.18,-1.7
2013,109,"RBGinsburg",-2.395,0.416,-2.377,-3.265,-1.622
2014,109,"RBGinsburg",-2.474,0.436,-2.456,-3.369,-1.677
2015,109,"RBGinsburg",-2.576,0.467,-2.555,-3.552,-1.731
2016,109,"RBGinsburg",-2.618,0.52,-2.602,-3.685,-1.663
1941,84,"RHJackson",0.215,0.219,0.21,-0.201,0.653
1942,84,"RHJackson",0.275,0.19,0.273,-0.093,0.661
1943,84,"RHJackson",0.144,0.178,0.143,-0.2,0.496
1944,84,"RHJackson",0.197,0.175,0.195,-0.142,0.543
1945,84,"RHJackson",0.622,0.27,0.622,0.1,1.149
1946,84,"RHJackson",1.054,0.224,1.048,0.631,1.515
1947,84,"RHJackson",1.207,0.224,1.2,0.788,1.654
1948,84,"RHJackson",1.281,0.224,1.274,0.859,1.735
1949,84,"RHJackson",0.829,0.261,0.817,0.349,1.389
1950,84,"RHJackson",0.779,0.222,0.776,0.359,1.222
1951,84,"RHJackson",0.72,0.213,0.715,0.322,1.151
1952,84,"RHJackson",0.916,0.221,0.908,0.506,1.375
1953,84,"RHJackson",0.864,0.275,0.859,0.353,1.428
2005,112,"SAAlito",1.408,0.355,1.399,0.747,2.127
2006,112,"SAAlito",1.441,0.293,1.432,0.899,2.036
2007,112,"SAAlito",1.538,0.291,1.53,0.996,2.126
2008,112,"SAAlito",1.795,0.29,1.785,1.248,2.378
2009,112,"SAAlito",1.812,0.309,1.806,1.223,2.449
2010,112,"SAAlito",1.947,0.317,1.939,1.342,2.577
2011,112,"SAAlito",1.954,0.319,1.946,1.35,2.606
2012,112,"SAAlito",1.923,0.327,1.916,1.312,2.593
2013,112,"SAAlito",1.826,0.333,1.817,1.194,2.501
2014,112,"SAAlito",1.603,0.314,1.593,1.014,2.257
2015,112,"SAAlito",1.404,0.346,1.391,0.769,2.115
2016,112,"SAAlito",1.476,0.392,1.459,0.756,2.298
1981,104,"SDOConnor",1.563,0.258,1.556,1.081,2.094
1982,104,"SDOConnor",1.715,0.245,1.708,1.251,2.214
1983,104,"SDOConnor",1.687,0.239,1.68,1.235,2.175
1984,104,"SDOConnor",1.5,0.232,1.497,1.065,1.967
1985,104,"SDOConnor",1.28,0.216,1.273,0.872,1.726
1986,104,"SDOConnor",1.38,0.206,1.375,0.99,1.8
1987,104,"SDOConnor",1.563,0.232,1.56,1.119,2.035
1988,104,"SDOConnor",1.501,0.233,1.497,1.053,1.966
1989,104,"SDOConnor",1.52,0.222,1.517,1.097,1.966
1990,104,"SDOConnor",1.12,0.211,1.115,0.722,1.55
1991,104,"SDOConnor",0.693,0.198,0.689,0.309,1.098
1992,104,"SDOConnor",0.855,0.211,0.85,0.456,1.279
1993,104,"SDOConnor",1.017,0.222,1.013,0.589,1.46
1994,104,"SDOConnor",0.829,0.214,0.829,0.416,1.251
1995,104,"SDOConnor",0.838,0.222,0.836,0.414,1.283
1996,104,"SDOConnor",0.976,0.223,0.97,0.553,1.428
1997,104,"SDOConnor",1.077,0.232,1.073,0.633,1.546
1998,104,"SDOConnor",0.964,0.226,0.96,0.532,1.413
1999,104,"SDOConnor",0.869,0.218,0.864,0.45,1.311
2000,104,"SDOConnor",0.584,0.201,0.584,0.204,0.984
2001,104,"SDOConnor",0.356,0.203,0.353,-0.03,0.76
2002,104,"SDOConnor",0.243,0.215,0.242,-0.175,0.673
2003,104,"SDOConnor",0.196,0.204,0.194,-0.203,0.598
2004,104,"SDOConnor",0.12,0.232,0.116,-0.329,0.575
2005,104,"SDOConnor",0.071,0.352,0.063,-0.618,0.779
1937,79,"SFReed",-1.052,0.346,-1.05,-1.73,-0.394
1938,79,"SFReed",-1.146,0.256,-1.142,-1.675,-0.661
1939,79,"SFReed",-1.067,0.235,-1.063,-1.538,-0.619
1940,79,"SFReed",-0.739,0.207,-0.737,-1.155,-0.348
1941,79,"SFReed",-0.278,0.184,-0.278,-0.641,0.081
1942,79,"SFReed",0.124,0.174,0.122,-0.211,0.468
1943,79,"SFReed",0.142,0.173,0.138,-0.193,0.488
1944,79,"SFReed",-0.085,0.159,-0.084,-0.396,0.22
1945,79,"SFReed",0.074,0.193,0.073,-0.304,0.451
1946,79,"SFReed",0.296,0.172,0.294,-0.038,0.638
1947,79,"SFReed",0.539,0.18,0.536,0.202,0.904
1948,79,"SFReed",0.716,0.191,0.712,0.347,1.098
1949,79,"SFReed",1.153,0.25,1.147,0.676,1.663
1950,79,"SFReed",1.254,0.253,1.252,0.781,1.769
1951,79,"SFReed",1.312,0.25,1.304,0.842,1.816
1952,79,"SFReed",1.385,0.253,1.378,0.907,1.903
1953,79,"SFReed",1.538,0.267,1.53,1.027,2.081
1954,79,"SFReed",1.52,0.259,1.513,1.03,2.046
1955,79,"SFReed",1.083,0.255,1.071,0.62,1.618
1956,79,"SFReed",0.851,0.309,0.833,0.284,1.498
1994,110,"SGBreyer",-0.306,0.221,-0.306,-0.743,0.125
1995,110,"SGBreyer",-0.452,0.213,-0.449,-0.874,-0.05
1996,110,"SGBreyer",-0.709,0.214,-0.706,-1.143,-0.298
1997,110,"SGBreyer",-0.769,0.225,-0.761,-1.228,-0.346
1998,110,"SGBreyer",-0.745,0.216,-0.739,-1.179,-0.335
1999,110,"SGBreyer",-0.797,0.221,-0.789,-1.247,-0.38
2000,110,"SGBreyer",-1.247,0.241,-1.244,-1.727,-0.788
2001,110,"SGBreyer",-1.321,0.256,-1.316,-1.843,-0.842
2002,110,"SGBreyer",-1.317,0.272,-1.31,-1.873,-0.799
2003,110,"SGBreyer",-1.238,0.26,-1.23,-1.77,-0.749
2004,110,"SGBreyer",-1.088,0.257,-1.082,-1.61,-0.6
2005,110,"SGBreyer",-1.265,0.264,-1.262,-1.8,-0.763
2006,110,"SGBreyer",-1.38,0.258,-1.374,-1.896,-0.887
2007,110,"SGBreyer",-1.284,0.269,-1.28,-1.823,-0.776
2008,110,"SGBreyer",-1.181,0.253,-1.173,-1.692,-0.704
2009,110,"SGBreyer",-1.313,0.262,-1.312,-1.834,-0.807
2010,110,"SGBreyer",-1.376,0.268,-1.369,-1.92,-0.878
2011,110,"SGBreyer",-1.366,0.272,-1.358,-1.906,-0.856
2012,110,"SGBreyer",-1.345,0.279,-1.336,-1.914,-0.822
2013,110,"SGBreyer",-1.412,0.298,-1.405,-2.022,-0.853
2014,110,"SGBreyer",-1.492,0.299,-1.484,-2.117,-0.931
2015,110,"SGBreyer",-1.348,0.326,-1.336,-2.015,-0.741
2016,110,"SGBreyer",-1.312,0.373,-1.295,-2.103,-0.629
1949,89,"SMinton",1.299,0.316,1.288,0.721,1.967
1950,89,"SMinton",1.424,0.279,1.414,0.903,2.008
1951,89,"SMinton",1.489,0.262,1.484,0.991,2.015
1952,89,"SMinton",1.284,0.235,1.278,0.845,1.769
1953,89,"SMinton",0.894,0.235,0.886,0.456,1.377
1954,89,"SMinton",0.884,0.233,0.878,0.437,1.356
1955,89,"SMinton",0.876,0.242,0.87,0.422,1.387
1956,89,"SMinton",0.84,0.387,0.835,0.097,1.609
2009,113,"SSotomayor",-1.555,0.341,-1.543,-2.258,-0.923
2010,113,"SSotomayor",-1.614,0.317,-1.6,-2.271,-1.029
2011,113,"SSotomayor",-1.754,0.333,-1.744,-2.448,-1.14
2012,113,"SSotomayor",-2.142,0.363,-2.127,-2.902,-1.468
2013,113,"SSotomayor",-2.358,0.397,-2.345,-3.166,-1.615
2014,113,"SSotomayor",-2.535,0.436,-2.523,-3.432,-1.714
2015,113,"SSotomayor",-2.607,0.479,-2.591,-3.592,-1.734
2016,113,"SSotomayor",-2.645,0.53,-2.626,-3.744,-1.676
1949,88,"TCClark",1.119,0.316,1.11,0.538,1.767
1950,88,"TCClark",1.145,0.274,1.137,0.633,1.699
1951,88,"TCClark",1.21,0.244,1.204,0.752,1.706
1952,88,"TCClark",1.176,0.22,1.17,0.765,1.624
1953,88,"TCClark",0.619,0.209,0.616,0.222,1.035
1954,88,"TCClark",0.169,0.2,0.168,-0.221,0.561
1955,88,"TCClark",0.042,0.184,0.043,-0.309,0.411
1956,88,"TCClark",0.216,0.167,0.216,-0.114,0.547
1957,88,"TCClark",0.653,0.165,0.651,0.332,0.984
1958,88,"TCClark",0.579,0.174,0.577,0.243,0.924
1959,88,"TCClark",0.393,0.164,0.394,0.074,0.716
1960,88,"TCClark",0.798,0.183,0.796,0.447,1.168
1961,88,"TCClark",0.49,0.182,0.489,0.136,0.853
1962,88,"TCClark",0.345,0.162,0.343,0.03,0.667
1963,88,"TCClark",0.13,0.151,0.131,-0.168,0.422
1964,88,"TCClark",-0.124,0.189,-0.124,-0.503,0.245
1965,88,"TCClark",-0.052,0.172,-0.051,-0.392,0.289
1966,88,"TCClark",0.162,0.166,0.159,-0.16,0.495
1967,98,"TMarshall",-1.253,0.25,-1.242,-1.778,-0.793
1968,98,"TMarshall",-1.179,0.235,-1.175,-1.658,-0.737
1969,98,"TMarshall",-1.029,0.227,-1.025,-1.486,-0.596
1970,98,"TMarshall",-0.984,0.207,-0.979,-1.404,-0.597
1971,98,"TMarshall",-1.076,0.2,-1.07,-1.48,-0.697
1972,98,"TMarshall",-1.361,0.207,-1.354,-1.778,-0.972
1973,98,"TMarshall",-1.474,0.219,-1.467,-1.922,-1.063
1974,98,"TMarshall",-1.478,0.245,-1.471,-1.979,-1.032
1975,98,"TMarshall",-2.005,0.265,-1.995,-2.545,-1.508
1976,98,"TMarshall",-2.355,0.297,-2.35,-2.96,-1.791
1977,98,"TMarshall",-2.671,0.342,-2.664,-3.37,-2.019
1978,98,"TMarshall",-3.059,0.357,-3.054,-3.774,-2.384
1979,98,"TMarshall",-3.338,0.382,-3.331,-4.111,-2.614
1980,98,"TMarshall",-3.491,0.404,-3.477,-4.313,-2.727
1981,98,"TMarshall",-3.61,0.424,-3.601,-4.465,-2.81
1982,98,"TMarshall",-3.761,0.442,-3.744,-4.668,-2.929
1983,98,"TMarshall",-3.824,0.464,-3.814,-4.765,-2.956
1984,98,"TMarshall",-3.899,0.479,-3.887,-4.915,-3.014
1985,98,"TMarshall",-3.988,0.501,-3.965,-5.037,-3.082
1986,98,"TMarshall",-4.192,0.517,-4.17,-5.267,-3.252
1987,98,"TMarshall",-4.36,0.535,-4.332,-5.481,-3.4
1988,98,"TMarshall",-4.449,0.556,-4.421,-5.625,-3.438
1989,98,"TMarshall",-4.424,0.609,-4.396,-5.7,-3.311
1990,98,"TMarshall",-4.263,0.697,-4.247,-5.702,-2.96
1942,85,"WBRutledge",-1.107,0.298,-1.1,-1.718,-0.55
1943,85,"WBRutledge",-1.149,0.235,-1.142,-1.642,-0.708
1944,85,"WBRutledge",-1.38,0.224,-1.373,-1.835,-0.956
1945,85,"WBRutledge",-1.196,0.26,-1.189,-1.722,-0.71
1946,85,"WBRutledge",-1.441,0.251,-1.431,-1.955,-0.974
1947,85,"WBRutledge",-1.761,0.272,-1.753,-2.315,-1.258
1948,85,"WBRutledge",-1.847,0.318,-1.834,-2.51,-1.259
1969,99,"WEBurger",2.017,0.355,2.004,1.367,2.764
1970,99,"WEBurger",2.205,0.323,2.195,1.601,2.867
1971,99,"WEBurger",2.435,0.289,2.427,1.888,3.028
1972,99,"WEBurger",2.235,0.272,2.228,1.724,2.796
1973,99,"WEBurger",2.227,0.265,2.219,1.724,2.772
1974,99,"WEBurger",2.139,0.275,2.134,1.622,2.688
1975,99,"WEBurger",1.97,0.261,1.964,1.469,2.492
1976,99,"WEBurger",1.899,0.249,1.893,1.436,2.406
1977,99,"WEBurger",1.536,0.235,1.53,1.098,2.018
1978,99,"WEBurger",1.394,0.221,1.387,0.976,1.844
1979,99,"WEBurger",1.199,0.208,1.194,0.815,1.635
1980,99,"WEBurger",1.42,0.229,1.413,0.986,1.886
1981,99,"WEBurger",1.608,0.227,1.601,1.176,2.066
1982,99,"WEBurger",1.481,0.236,1.474,1.031,1.949
1983,99,"WEBurger",1.697,0.247,1.694,1.224,2.186
1984,99,"WEBurger",2.005,0.276,1.998,1.485,2.576
1985,99,"WEBurger",2.114,0.324,2.102,1.52,2.783
1971,102,"WHRehnquist",3.634,0.36,3.631,2.933,4.349
1972,102,"WHRehnquist",4.049,0.385,4.041,3.316,4.825
1973,102,"WHRehnquist",4.302,0.414,4.3,3.527,5.148
1974,102,"WHRehnquist",4.394,0.445,4.386,3.559,5.281
1975,102,"WHRehnquist",4.51,0.46,4.507,3.62,5.415
1976,102,"WHRehnquist",4.484,0.482,4.478,3.556,5.432
1977,102,"WHRehnquist",4.468,0.493,4.461,3.524,5.481
1978,102,"WHRehnquist",4.489,0.493,4.477,3.551,5.497
1979,102,"WHRehnquist",4.503,0.476,4.484,3.621,5.474
1980,102,"WHRehnquist",4.347,0.484,4.333,3.44,5.324
1981,102,"WHRehnquist",4.182,0.478,4.172,3.272,5.152
1982,102,"WHRehnquist",4.082,0.461,4.066,3.22,5.017
1983,102,"WHRehnquist",3.977,0.441,3.966,3.155,4.868
1984,102,"WHRehnquist",3.754,0.426,3.742,2.963,4.631
1985,102,"WHRehnquist",3.533,0.399,3.517,2.787,4.363
1986,102,"WHRehnquist",3.265,0.371,3.257,2.572,4.04
1987,102,"WHRehnquist",2.825,0.373,2.812,2.135,3.613
1988,102,"WHRehnquist",2.714,0.352,2.703,2.055,3.432
1989,102,"WHRehnquist",2.572,0.33,2.559,1.966,3.25
1990,102,"WHRehnquist",2.359,0.321,2.349,1.768,3.031
1991,102,"WHRehnquist",2.105,0.306,2.095,1.537,2.736
1992,102,"WHRehnquist",2.047,0.304,2.045,1.467,2.654
1993,102,"WHRehnquist",1.869,0.298,1.865,1.302,2.472
1994,102,"WHRehnquist",1.871,0.289,1.858,1.339,2.459
1995,102,"WHRehnquist",1.841,0.284,1.832,1.298,2.415
1996,102,"WHRehnquist",1.706,0.285,1.7,1.169,2.274
1997,102,"WHRehnquist",1.661,0.285,1.652,1.124,2.229
1998,102,"WHRehnquist",1.855,0.283,1.846,1.311,2.427
1999,102,"WHRehnquist",1.715,0.283,1.707,1.18,2.291
2000,102,"WHRehnquist",1.655,0.271,1.645,1.146,2.205
2001,102,"WHRehnquist",1.408,0.27,1.399,0.905,1.957
2002,102,"WHRehnquist",1.239,0.273,1.229,0.731,1.788
2003,102,"WHRehnquist",1.367,0.286,1.358,0.833,1.949
2004,102,"WHRehnquist",1.439,0.336,1.426,0.805,2.127
1956,92,"WJBrennan",-0.667,0.208,-0.663,-1.08,-0.271
1957,92,"WJBrennan",-0.768,0.178,-0.763,-1.125,-0.428
1958,92,"WJBrennan",-0.823,0.188,-0.819,-1.202,-0.466
1959,92,"WJBrennan",-0.913,0.19,-0.91,-1.3,-0.545
1960,92,"WJBrennan",-0.892,0.193,-0.89,-1.276,-0.522
1961,92,"WJBrennan",-0.838,0.204,-0.836,-1.251,-0.448
1962,92,"WJBrennan",-1.195,0.201,-1.189,-1.603,-0.816
1963,92,"WJBrennan",-1.121,0.204,-1.117,-1.546,-0.732
1964,92,"WJBrennan",-0.96,0.22,-0.953,-1.412,-0.546
1965,92,"WJBrennan",-1.085,0.214,-1.08,-1.52,-0.68
1966,92,"WJBrennan",-1.18,0.2,-1.174,-1.587,-0.807
1967,92,"WJBrennan",-1.312,0.204,-1.309,-1.717,-0.92
1968,92,"WJBrennan",-1.127,0.218,-1.123,-1.566,-0.716
1969,92,"WJBrennan",-1.003,0.219,-0.998,-1.453,-0.597
1970,92,"WJBrennan",-1.06,0.21,-1.056,-1.483,-0.666
1971,92,"WJBrennan",-1.178,0.205,-1.171,-1.595,-0.791
1972,92,"WJBrennan",-1.401,0.212,-1.395,-1.823,-1.01
1973,92,"WJBrennan",-1.715,0.234,-1.711,-2.184,-1.277
1974,92,"WJBrennan",-1.955,0.277,-1.947,-2.518,-1.433
1975,92,"WJBrennan",-2.523,0.294,-2.513,-3.115,-1.963
1976,92,"WJBrennan",-2.784,0.313,-2.775,-3.422,-2.201
1977,92,"WJBrennan",-2.878,0.333,-2.869,-3.542,-2.249
1978,92,"WJBrennan",-2.799,0.338,-2.786,-3.492,-2.163
1979,92,"WJBrennan",-2.753,0.332,-2.741,-3.438,-2.136
1980,92,"WJBrennan",-2.619,0.339,-2.609,-3.307,-1.994
1981,92,"WJBrennan",-2.588,0.331,-2.576,-3.274,-1.969
1982,92,"WJBrennan",-2.447,0.347,-2.438,-3.156,-1.809
1983,92,"WJBrennan",-2.821,0.343,-2.809,-3.513,-2.184
1984,92,"WJBrennan",-3.038,0.363,-3.032,-3.761,-2.366
1985,92,"WJBrennan",-3.14,0.383,-3.128,-3.93,-2.43
1986,92,"WJBrennan",-3.413,0.394,-3.403,-4.207,-2.681
1987,92,"WJBrennan",-3.498,0.424,-3.479,-4.356,-2.713
1988,92,"WJBrennan",-3.595,0.45,-3.584,-4.52,-2.757
1989,92,"WJBrennan",-3.657,0.496,-3.642,-4.703,-2.741
1938,81,"WODouglas",-2.8,0.487,-2.792,-3.748,-1.856
1939,81,"WODouglas",-3.012,0.44,-3.002,-3.88,-2.183
1940,81,"WODouglas",-3.134,0.399,-3.123,-3.944,-2.381
1941,81,"WODouglas",-3.069,0.368,-3.061,-3.818,-2.37
1942,81,"WODouglas",-2.773,0.345,-2.768,-3.469,-2.116
1943,81,"WODouglas",-2.449,0.319,-2.443,-3.097,-1.846
1944,81,"WODouglas",-1.982,0.304,-1.974,-2.61,-1.412
1945,81,"WODouglas",-1.747,0.294,-1.742,-2.344,-1.19
1946,81,"WODouglas",-1.435,0.262,-1.427,-1.971,-0.948
1947,81,"WODouglas",-1.532,0.264,-1.524,-2.071,-1.034
1948,81,"WODouglas",-1.726,0.269,-1.718,-2.282,-1.219
1949,81,"WODouglas",-1.606,0.328,-1.597,-2.272,-0.995
1950,81,"WODouglas",-1.441,0.336,-1.418,-2.154,-0.844
1951,81,"WODouglas",-1.625,0.362,-1.596,-2.406,-0.989
1952,81,"WODouglas",-2.257,0.385,-2.234,-3.072,-1.572
1953,81,"WODouglas",-2.962,0.426,-2.948,-3.832,-2.17
1954,81,"WODouglas",-3.63,0.461,-3.616,-4.563,-2.763
1955,81,"WODouglas",-4.174,0.496,-4.164,-5.184,-3.237
1956,81,"WODouglas",-4.652,0.524,-4.636,-5.732,-3.681
1957,81,"WODouglas",-5.04,0.555,-5.022,-6.176,-3.995
1958,81,"WODouglas",-5.384,0.587,-5.363,-6.569,-4.282
1959,81,"WODouglas",-5.652,0.63,-5.621,-6.946,-4.477
1960,81,"WODouglas",-5.903,0.672,-5.881,-7.271,-4.65
1961,81,"WODouglas",-6.14,0.711,-6.114,-7.607,-4.799
1962,81,"WODouglas",-6.343,0.752,-6.324,-7.879,-4.919
1963,81,"WODouglas",-6.544,0.79,-6.516,-8.161,-5.037
1964,81,"WODouglas",-6.772,0.813,-6.73,-8.434,-5.212
1965,81,"WODouglas",-6.975,0.833,-6.941,-8.7,-5.391
1966,81,"WODouglas",-7.13,0.857,-7.093,-8.892,-5.532
1967,81,"WODouglas",-7.274,0.882,-7.238,-9.09,-5.665
1968,81,"WODouglas",-7.385,0.912,-7.339,-9.236,-5.711
1969,81,"WODouglas",-7.455,0.941,-7.421,-9.388,-5.737
1970,81,"WODouglas",-7.523,0.967,-7.47,-9.509,-5.763
1971,81,"WODouglas",-7.586,0.989,-7.531,-9.659,-5.779
1972,81,"WODouglas",-7.617,1.02,-7.557,-9.717,-5.738
1973,81,"WODouglas",-7.662,1.057,-7.612,-9.861,-5.731
1974,81,"WODouglas",-7.726,1.088,-7.688,-9.991,-5.706
1975,81,"WODouglas",-7.729,1.127,-7.685,-10.055,-5.638
